id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
22264,2011DDTSEPR462,2012-01-02,2011-11-09,2012-05-04,abroge,77,,null,null,undefined,,,,,,4329,SOU,11_77_01,Nappe du Champigny Ouest,crise,152,[]
22242,2011-7,2012-01-02,2011-11-22,2012-01-31,abroge,35,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22242/20111122_arrete_secheresse_vigilance.pdf,null,null,undefined,21454,2011 - n°2,2011-06-06,2021-06-10,,"[3726,4564]","[""SUP"",""SOU""]","[""53_35_0001"",""53_35_01""]","[""Departement 35"",""zone non couverte par l'arrêté cadre""]","[""vigilance"",""vigilance""]",,"[[],[]]"
22263,2011/DDT/SEPR/461,2012-01-02,2011-11-09,2012-05-04,abroge,77,,null,null,undefined,,,,,,4331,SOU,11_77_02,Nappe du Champigny Est,crise,154,[]
22265,2011-DDT-SE-404,2012-01-02,2011-11-25,2012-05-04,abroge,91,,null,null,undefined,,,,,,4328,SOU,11_91_01,Nappe Champigny Ouest,crise,,[]
22319,XX,2012-03-28,2012-03-28,2012-04-18,abroge,66,,null,null,undefined,22292,2010320-0029,2010-11-16,,,"[5746,5744,5747,5745,5742,4261]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SOU""]","[""91_66_0005"",""91_66_0003"",""91_66_0006"",""91_66_0004"",""91_66_0001"",""91_66_01""]","[""Têt Amont Vinça"",""Segre et Carol"",""Têt Aval Vinça Réart Agouille de la Mar"",""Tech-Côte Vermeille"",""Agly-Bourdigou"",""Nappes plioquaternaires de la plaine du roussillon (partie Pyrénées Orientales)""]","[""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance""]",,"[[],[],[],[],[],[]]"
22270,DDTM34-2012-03-02076,2012-03-30,2012-03-30,2012-05-15,abroge,34,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22270/ap_ddtm34_2012-03-02076.pdf,null,null,undefined,,,,,,"[5728,5723,5724,5727,5729,5731,4259,5725,5726,5730,5732]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SOU"",""SUP"",""SUP"",""SUP"",""SUP""]","[""91_34_0006"",""91_34_0001"",""91_34_0002"",""91_34_0005"",""91_34_0007"",""91_34_0009"",""91_34_01"",""91_34_0003"",""91_34_0004"",""91_34_0008"",""91_34_0010""]","[""Bassin de la Lergue ( partie Hérault)"",""Bassin du Vidourle ( partie Hérault)"",""Bassin de l'Or"",""Bassin du fleuve Hérault ( partie Hérault)"",""Bassin de l'Orb et du Libron"",""Bassin vallée de l'Aude (partie dépt Hérault)"",""Nappe astienne (partie Hérault)"",""Bassin du Lez-Mosson et étangs palavasiens"",""Bassin de Thau"",""Bassin de la basse vallée de l'Aude (partie dépt Hérault)"",""Bassin de l'Agout-Thoré""]","[""alerte"",""alerte"",""alerte"",""alerte"",""alerte"",""vigilance"",""alerte"",""alerte"",""alerte"",""vigilance"",""vigilance""]",,"[[],[],[],[],[],[],[],[],[],[],[]]"
22278,35-2012-01,2012-03-30,2012-03-30,2012-06-21,abroge,35,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22278/arrete_vigilance_20120330.pdf,null,null,undefined,21454,2011 - n°2,2011-06-06,2021-06-10,,"[4564,3726]","[""SOU"",""SUP""]","[""53_35_01"",""53_35_0001""]","[""zone non couverte par l'arrêté cadre"",""Departement 35""]","[""vigilance"",""vigilance""]",,"[[],[]]"
22279,2012093-0004,2012-04-02,2012-04-02,2012-05-02,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22279/argence.pdf,null,null,undefined,,,,,,3764,SUP,54_16_2,Bassin de l' Argence,alerte_renforcee,,[]
22290,2012093-0009,2012-04-02,2012-04-02,2012-05-02,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22290/nou%C3%A8re.pdf,null,null,undefined,,,,,,3778,SUP,54_16_17,Bassin de la Nouère,alerte_renforcee,,[]
22287,2012093-0005,2012-04-02,2012-04-02,2012-04-03,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22287/auge.pdf,null,null,undefined,,,,,,3769,SUP,54_16_4,Bassin de l'Auge,alerte_renforcee,,[]
22289,2012093-0008,2012-04-02,2012-04-02,2012-05-02,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22289/charente%20aval.pdf,null,null,undefined,,,,,,3800,SUP,54_16_11,Bassin de Charente Aval,alerte_renforcee,,[]
22269,DDT_SEB_239,2012-04-02,2012-03-29,2012-04-08,abroge,86,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22269/ap-239-signe_avec_annexe.pdf,null,null,undefined,,,,,,"[4292,3730,4302]","[""SOU"",""SUP"",""SOU""]","[""54_86_5"",""54_86_7"",""54_86_25""]","[""Bassin_Clain_CHARPRAIE_Supra"",""Bassin Clain Clouere ROZEAU"",""ESOM Bassin_Clain_PETIT_CHEZ_DAUFFARD_Supra_&_FONTJOISE_Infra""]","[""alerte_renforcee"",""crise"",""alerte_renforcee""]",,"[[],[],[]]"
22288,2012093-0006,2012-04-02,2012-04-02,2012-04-25,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22288/bief.pdf,null,null,undefined,,,,,,3767,SUP,54_16_8,Bassin du Bief,crise,,[]
22282,2012093-0007,2012-04-02,2012-04-02,2012-04-25,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22282/bonnieure.pdf,null,null,undefined,,,,,,3773,SUP,54_16_9,Bassin de la Bonnieure,alerte_renforcee,,[]
22338,61999999,2012-04-04,2012-04-04,2012-09-30,abroge,61,,null,null,undefined,,,,,,"[5790,5793,5788,5797,5792,5794,5787,5791,5796,5789,5795]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""25_61_04"",""25_61_07"",""25_61_02"",""25_61_11"",""25_61_06"",""25_61_08"",""25_61_01"",""25_61_05"",""25_61_10"",""25_61_03"",""25_61_09""]","[""Orne amont"",""Risle,Charentonne,Guiel"",""Orne moyenne"",""Sarthe amont"",""Touques"",""Iton"",""Egrenne,Varenne"",""Dives,Vie"",""Huisne"",""Mayenne amont"",""Avre""]","[""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance""]",,"[[],[],[],[],[],[],[],[],[],[],[]]"
22357,2012123-0007,2012-04-04,2012-04-02,2012-04-04,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22357/auge%20lev%C3%A9e%20alerte%20printemps.pdf,null,null,undefined,,,,,,,,,,,,
22291,2012094-0006,2012-04-05,2012-04-03,2012-06-10,abroge,16,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22291/seugne%2020120403.pdf,null,null,undefined,,,,,,3802,SUP,54_16_20,Bassin de la Seugne,alerte_renforcee,,[]
22308,2012-096-0021,2012-04-05,2012-04-05,2012-05-09,abroge,48,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22308/ap1_franchissement_seuils_2012_signe.pdf,null,null,undefined,,,,,,"[5734,5735,5741,5738,5736,5739,5740,5733,5737]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""91_48_0002"",""91_48_0003"",""91_48_0009"",""91_48_0006"",""91_48_0004"",""91_48_0007"",""91_48_0008"",""91_48_0001"",""91_48_0005""]","[""bassin du Chassezac"",""bassin de la Colagne"",""bassin du Tarnon"",""bassin du Lot"",""bassin des Gardons cévenols (partie dépt Lozère)"",""bassin du Bramont"",""bassin du Tarn"",""bassin de l'Allier"",""bassin de la Truyère""]","[""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance""]",,"[[],[],[],[],[],[],[],[],[]]"
22307,2012/BPUP/054,2012-04-05,2012-04-05,2012-08-01,abroge,44,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22307/arr%C3%AAt%C3%A9_pr%C3%A9fectoral_05_04_12.pdf,null,null,undefined,,,,,,"[5665,5666,5671]","[""SUP"",""SUP"",""SUP""]","[""52_44_01"",""52_44_02"",""52_44_3c""]","[""bassin de la Vilaine"",""bassin de l'Oudon"",""bassin de la Loire aval""]","[""alerte"",""alerte"",""alerte""]",,"[[],[],[]]"
22311,2012-097.0004,2012-04-06,2012-04-06,2012-07-22,abroge,07,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22311/ap%20vigilanceeavril2012.pdf,null,null,undefined,22325,2010-169-9,2010-06-18,,,"[4085,4089,4086,4087,4088]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""82_07_000002"",""82_07_000001"",""82_07_000003"",""82_07_000004"",""82_07_000005""]","[""bassin de la Cance"",""bassin de l'Ardèche"",""bassin du Doux"",""bassin de l'Eyrieux"",""bassin de la Loire""]","[""vigilance"",""vigilance"",""vigilance"",""vigilance"",""vigilance""]",,"[[],[],[],[],[]]"
22310,12-843,2012-04-06,2012-04-05,2012-04-12,abroge,17,,null,null,undefined,,,,,,"[3793,3796,3790,3788,3792,3787,3794,3797,3789]","[""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP"",""SUP""]","[""54_17_10"",""54_17_3"",""54_17_7"",""54_17_2"",""54_17_9"",""54_17_1"",""54_17_12"",""54_17_11"",""54_17_5""]","[""FLEUVES COTIERS DE GIRONDE"",""LE MIGNON"",""LA SEUGNE"",""LA GERES ET LA DEVISE"",""L'ARNOULT"",""CURE ET SEVRES NIORTAISE"",""FLEUVE CHARENTE"",""LA BOUTONNE ET SES AFFLUENTS"",""LA SEUDRE""]","[""crise"",""alerte"",""alerte"",""alerte"",""alerte"",""alerte"",""alerte"",""alerte"",""alerte""]",,"[[],[],[],[],[],[],[],[],[]]"
22293,2012_En_Guibaud_1,2012-04-06,2012-04-05,2012-04-24,abroge,81,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22293/arr_enguibaud100%25_20120405.pdf,null,null,undefined,,,,,,5808,SUP,73_81_000011,L'EN GUIBAUD,crise,,[]
